WGTP,NP,RMSP,BDSP,HHT2,BATH,HHT,ACCESS,KIT,R65,R18,FES,R60,TEN,PUMA,ST,
47,2,6,3,7,1,3,1,1,0,0,7,0,3,4110,36,
101,4,4,2,7,1,3,1,1,0,1,8,1,3,4110,36,
40,4,5,3,2,1,1,1,1,1,0,1,2,2,4110,36,
60,2,6,3,2,1,1,1,1,0,0,1,0,3,4110,36,
70,1,2,1,5,1,6,1,1,0,0,0,0,3,4110,36,
66,3,6,3,2,1,1,1,1,0,0,3,1,3,4110,36,
62,4,5,2,3,1,3,1,1,0,1,7,0,3,4110,36,
262,1,4,2,5,1,6,3,1,1,0,0,1,4,4110,36,
53,2,4,2,2,1,1,1,1,2,0,4,2,2,4110,36,
171,3,5,2,7,1,3,1,1,1,0,8,1,4,4110,36,
106,1,4,2,9,1,4,1,1,1,0,0,1,3,4110,36,
95,7,11,5,1,1,1,1,1,1,1,1,1,1,4110,36,
46,4,4,2,1,1,1,1,1,0,1,1,0,1,4110,36,
57,4,6,3,2,1,1,1,1,2,0,2,2,3,4110,36,
229,3,5,2,2,1,1,1,1,0,0,1,0,2,4110,36,
56,1,6,3,5,1,6,1,1,1,0,0,1,2,4110,36,
30,1,1,0,9,1,4,1,1,0,0,0,0,3,4110,36,
79,2,3,1,2,1,1,1,1,0,0,0,0,3,4110,36,
96,5,6,4,1,1,1,1,1,0,1,1,0,3,4110,36,
304,1,3,1,5,1,6,1,1,0,0,0,0,3,4110,36,
79,5,5,3,1,1,1,1,1,0,1,2,0,1,4110,36,
55,4,4,2,2,1,1,3,1,0,0,4,2,2,4110,36,
64,5,7,4,1,1,1,1,1,0,1,2,0,1,4110,36,
82,3,7,4,2,1,1,1,1,0,0,1,1,1,4110,36,
36,3,7,3,1,1,1,1,1,0,1,2,0,1,4110,36,
81,4,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
43,2,6,3,6,1,3,1,1,0,1,7,0,4,4110,36,
40,5,3,2,1,1,1,1,1,2,1,1,2,3,4110,36,
119,2,4,2,2,1,1,3,1,2,0,4,2,3,4110,36,
38,0,6,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
49,4,5,2,1,1,1,1,1,0,1,1,0,1,4110,36,
130,0,6,3,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
67,2,9,2,4,1,7,1,1,0,0,0,0,3,4110,36,
108,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
66,4,4,2,1,1,1,1,1,0,1,2,0,3,4110,36,
55,1,4,2,5,1,6,3,1,1,0,0,1,2,4110,36,
54,9,6,3,1,1,1,1,1,1,1,2,1,2,4110,36,
45,1,8,3,5,1,6,1,1,0,0,0,1,2,4110,36,
34,2,2,1,12,1,5,1,1,1,0,0,1,1,4110,36,
48,1,6,3,5,1,6,1,1,1,0,0,1,2,4110,36,
54,2,6,3,11,1,2,1,1,1,0,6,1,2,4110,36,
86,2,6,2,4,1,7,1,1,0,0,0,0,3,4110,36,
47,2,8,3,2,1,1,1,1,2,0,4,2,2,4110,36,
121,0,5,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
50,8,6,3,2,1,1,1,1,1,1,3,2,1,4110,36,
